Number,Player,Last Season
Number 1,Aaron Ramsdale,23
Number 1,Bernd Leno,22
Number 1,Petr Cech,19
Number 1,Wojciech Szczesny,15
Number 1,Manuel Almunia,12
Number 1,Manuel Almunia,07
Number 1,Jens Lehmann,08
Number 1,David Seaman,03
Number 1,John Lukic,90
Number 1,George Wood,83
Number 1,Paul Barron,80
Number 1,Pat Jennings,85
Number 1,Jimmy Rimmer,77
Number 1,Geoff Barnett,73
Number 1,Geoff Barnett,70
Number 1,Malcolm Webster,70
Number 1,Bob Wilson,74
Number 1,Tony Burns,66
Number 1,Jim Furnell,68
Number 1,Bob Wilson,64
Number 1,Ian McKechnie,64
Number 1,Jack McClelland,63
Number 1,Jack Kelsey,62
Number 1,Jim Standen,60
Number 1,Con Sullivan,58
Number 1,Jack Kelsey,59
Number 1,Ted Platt,53
Number 1,Jack Kelsey,51
Number 1,Ted Platt,51
Number 1,George Swindin,53
Number 2,William Saliba,24
Number 2,Héctor Bellerín,22
Number 2,Mathieu Debuchy,18
Number 2,Abou Diaby,13
Number 2,Pal Lydersen,93
Number 2,David O'Leary,92
Number 2,Colin Pates,92
Number 2,Andy Linighan,94
Number 2,Lee Dixon,02
Number 2,Nigel Winterburn,88
Number 2,Michael Thomas,88
Number 2,Steve Williams,88
Number 2,Viv Anderson,87
Number 2,Colin Hill,84
Number 2,Stewart Robson,84
Number 2,Danny O'Shea,83
Number 2,Kenny Sansom,82
Number 2,John Hollins,83
Number 2,John Devine,83
Number 2,Eddie Kelly,75
Number 2,Pat Rice,80
Number 2,Bob McNab,68
Number 2,Peter Simpson,68
Number 2,David Court,67
Number 2,Terry Neill,68
Number 2,Peter Storey,70
Number 2,Don Howe,66
Number 2,Dave Bacuzzi,64
Number 2,Eddie Magill,64
Number 2,Dennis Evans,59
Number 2,Len Wills,60
Number 2,Stan Charlton,59
Number 2,Len Wills,56
Number 2,Joe Wade,54
Number 2,John Chenhall,53
Number 2,Laurie Scott,51
Number 2,Walley Barnes,52
Number 3,Kieran Tierney,20
Number 3,Jordi Osei-Tutu,18
Number 3,Kieran Gibbs,17
Number 3,Bacary Sagna,14
Number 3,Ashley Cole,06
